sq_measure_Cat,sq_inspection_stage,sq_question_number,sq_question,sq_can_have_photo,sq_na_allowed,sq_unable_to_validate_allowed,sq_remote_reinspection_allowed,sq_score_monitoring,sq_nc_severity,sq_uses_dropdown,sq_dropdown_list,sq_innovation_measure,sq_innovation_question_list,sq_Measure_type,Sq_Innovation_Product
All Measures,Post,TMQ.1,"Have all avoidable thermal bridges/heat loss areas which could have been insulated, been insulated? ",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
All Measures,Post,TMQ.2,Has 100% of the measure been installed where possible? ,TRUE,FALSE,FALSE,TRUE,FALSE,Low,FALSE,,FALSE,,,
Monitored Measures,Post,TMQ.3,Has appropriate monitoring equipment been installed into the property?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
All Measures,Post,H&S.1,Do any faults specific to the measure installed present an immediate risk to the occupier or the property?,TRUE,TRUE,TRUE,FALSE,FALSE,Cat1,FALSE,,FALSE,,,
All Measures,Post,H&S.2,Do you believe that there are any other safety related issues with the installation? ,TRUE,TRUE,TRUE,FALSE,FALSE,High,FALSE,,FALSE,,,
ASHP,Post,ASHP.1,"Where pipework has either been replaced, exposed, or been made accessible as part of the work within an unheated space within the building envelope, has this been insulated?",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
ASHP,Post,ASHP.2,"If holes or openings have been made through the fabric of the premises due to the installation of a new heat pump, have they been made good? (including condensate pipe,  pressure relief valve, gas flue terminals)",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
ASHP,Post,ASHP.3,Does the heat pump produce hot water for the central heating system?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
ASHP,Post,ASHP.4,"If the heat pump is designed to produce domestic hot water, is the boiler or heat pump producing domestic hot water?",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
ASHP,Post,ASHP.5,"If original heating controls remain, do they function correctly with the boiler?    ",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
ASHP,Post,ASHP.6,Are all habitable rooms heated ?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
ASHP,Post,ASHP.7,"Do the heating controls installed encompass a programmer, thermostat?",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
ASHP,Post,ASHP.8,Is the heat pump location to avoid detrimental performance from the re-circulation of chilled air?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
ASHP,Post,ASHP.9,Is there a means of removal of condensate to a drain or soakaway to prevent ice build up during defrost cycles?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
ASHP,Post,ASHP.10,Is the heat pump located away from sleeping areas and have anti vibration feet been fitted to prevent vibration nuisance?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
ASHP,Post,ASHP.11,Is a weather compensator present and has it been placed on the correct external aspect?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
ASHP,Post,ASHP.12,Has the Renewable Heat plant/boiler been installed as per manufacturer’s instructions and other guidance?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
BB,Post,BB.1,"Where pipework has either been replaced, exposed, or been made accessible as part of the work within an unheated space within the building envelope, has this been insulated?",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
BB,Post,BB.2,"If holes or openings have been made through the fabric of the premises due to the installation of a new boiler, have they been made good? (including condensate pipe,  pressure relief valve, gas flue terminals)",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
BB,Post,BB.3,Does the boiler produce hot water for the central heating system?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
BB,Post,BB.4,"If the boiler is designed to produce domestic hot water, is the boiler or heat pump producing domestic hot water?",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
BB,Post,BB.5,"If original heating controls remain, do they function correctly with the boiler?",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
BB,Post,BB.6,"Do the heating controls installed encompass a programmer, thermostat and TRVs to all radiators except those in the room with the thermostat?",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
BB,Post,BB.7,Has the Renewable Heat plant/boiler been installed as per manufacturer’s instructions and other guidance?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
BR,Post,BR.1,"Where pipework has either been replaced, exposed, or been made accessible as part of the work within an unheated space within or outside of the building envelope, has this been insulated?",TRUE,TRUE,FALSE,TRUE,FALSE,Low,FALSE,,FALSE,,,
BR,Post,BR.2,Does the boiler or heat pump produce hot water for the central heating system?,TRUE,FALSE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
BR,Post,BR.3,"If the boiler or heat pump is designed to produce domestic hot water, is the boiler or heat pump producing domestic hot water?",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
BR,Post,BR.4,Has the boiler been repaired as per manufacturer’s instructions and other guidance?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
CWI,Post,CWI.1,Is the insulation material suitable for use with the property’s exposure level to wind driven rain? ,TRUE,FALSE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
CWI,Post,CWI.2,Does the form of the construction of the property suggest that it was suitable for the material that has been installed?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
CWI,Post,CWI.3,Does the current condition of the property suggest that it was suitable for the material that has been installed?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
CWI,Post,CWI.4,Does the drilling pattern conform to the appropriate materials compliance certificate?,TRUE,FALSE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
CWI,Post,CWI.5,Have all injection holes been filled?,TRUE,FALSE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
CWI,Post,CWI.6,Have all vents been safeguarded and have redundant vents been sealed?,TRUE,TRUE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
CWI,Post,CWI.7,Is there any evidence of the escape of insulation?,TRUE,FALSE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
CWI,Post,CWI.8,Are there any signs of damp or condensation?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
CWI,Post,CWI.10,Does the provision of ventilation in the property meet the requirements of the relevant version of PAS 2030?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
DP,Post,DP.1,Has the draught proofing been securely fixed to all doors and windows?,TRUE,FALSE,FALSE,TRUE,FALSE,Low,FALSE,,FALSE,,,
DP,Post,DP.2,Are all newly treated windows and doors fully operational?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
DP,Post install ,DP.3,"Are elements that are treated free from rot, infestation and visible signs of corrosion?",TRUE,FALSE,FALSE,FALSE,FALSE,High,FALSE,,FALSE,,,
DP,Post install ,DP.4,Have all hatches to heat loss areas been treated?,TRUE,FALSE,FALSE,FALSE,FALSE,Low,FALSE,,FALSE,,,
DP,Post install ,DP.5,Has the installation compromised combustion ventilation or other ventilation systems within the property?,TRUE,FALSE,FALSE,FALSE,FALSE,High,FALSE,,FALSE,,,
DG,Post,DG.1,Are the fixings in line with building regulations and the maximum spacing between fixings evidenced (opening windows only) 150mm from corner weld and maximum 600mm between other fixings?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
DG,Post,DG.2,"Has safety glass been fitted where appropriate? (less than 800mm from the ground or floor level, has toughened safety glass been fitted).",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
DG,Post,DG.3,Have fire safety windows been fitted where and when required?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
DG,Post,DG.4,Has safety restrictors been fitted to upstairs windows to prevent falling,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
DG,Post,DG.5,Has the window got a suitable lintel in place ,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
DG,Post,DG.6,Has the window been sealed and made good?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
DG,Post,DG.7,Where trickle vents were present before are trickle vents still present on all replacement windows ?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
DG,Post,DG.8,Are drainage holes present and free from debris and useable?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
WG,Post,WG.1,Have all windows and doors in the premises that haven’t been treated before now been treated?     ,TRUE,FALSE,FALSE,FALSE,FALSE,Low,FALSE,,FALSE,,,
ESHR,Post,ESHR.1,Is the repair to an Electric Storage Heater as opposed to a panel heater or other kind of heater?,TRUE,FALSE,FALSE,TRUE,FALSE,Low,FALSE,,FALSE,,,
ESHR,Post,ESHR.2,Does the Electric Storage Heater activate and produce heat?,TRUE,FALSE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
ESHR,Post,ESHR.3,Is the property on an Economy 7 or differential off-peak tariff?,TRUE,FALSE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
ESHR,Post,ESHR.4,"Where the property is on a differential off-peak tariff, are the Elecitric Storage Heaters connected to a separate consumer unit? ",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
EWI,Post,EWI.13,"Where services (e.g. gas, electric, water, telecommunications) have penetrated the insulation board have these been sealed appropriately?",TRUE,TRUE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
EWI,Post,EWI.14,Are there any visible signs of water penetration?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
EWI,Post,EWI.15,Has the render/cladding been fully applied?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
EWI,Post,EWI.16,"Where appropriate, have window and door reveals been insulated in line with the system designer’s specifications?",TRUE,TRUE,FALSE,TRUE,FALSE,Low,FALSE,,FALSE,,,
EWI,Post,EWI.17,Have all exterior facing wall areas (above DPC) been insulated in line with the system designer's specifications to reduce the effects of thermal bridging?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
EWI,Post,EWI.18,Have all exterior window and door seals been applied and finished off in line with the system designer's specifications?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
EWI,Post,EWI.19,"Where necessary, has the roofline been extended in line with the system designer's specifications to cover the EWI works and prevent water ingress?",TRUE,TRUE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
EWI,Post,EWI.20,Is there evidence of damage to the EWI fabric as a result of water ingress?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
EWI,Post,EWI.21,Does the provision of ventilation in the property meet the requirements of the relevant version of PAS 2030?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
FCH,Post,FCH.2,Are all roof areas and exterior-facing cavity walls insulated?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
FRI,Post,FRI.5,Is there any evidence of water penetration?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
FRI,Post,FRI.6,"Has a waterproof membrane been applied over the whole of the insulated area, including ‘Up Stands’ after the laying of the insulation board? ",TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
FRI,Post,FRI.7,Has the area between the wall and flat roof slab been insulated to prevent cold bridging?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
FRI,Post,FRI.8,Does the provision of ventilation in the property meet the requirements of the relevant version of PAS 2030?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
GSHP,Post,GSHP.1,"Where pipework has either been replaced, exposed, or been made accessible as part of the work within an unheated space within the building envelope, has this been insulated?",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
GSHP,Post,GSHP.2,"If holes or openings have been made through the fabric of the premises due to the installation of a new heat pump, have they been made good? (including condensate pipe,  pressure relief valve, gas flue terminals)",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
GSHP,Post,GSHP.3,Does the heat pump produce hot water for the central heating system?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
GSHP,Post,GSHP.4,"If the heat pump is designed to produce domestic hot water, is the boiler or heat pump producing domestic hot water?",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
GSHP,Post,GSHP.5,"If original heating controls remain, do they function correctly with the boiler?    ",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
GSHP,Post,GSHP.6,Are all habitable rooms heated ?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
GSHP,Post,GSHP.7,"Do the heating controls installed encompass a programmer, thermostat?",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
GSHP,Post,GSHP.8,Has the Renewable Heat plant/boiler been installed as per manufacturer’s instructions and other guidance?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
HC,Post,HC.1,"Are the standard heating controls, smart thermostat, compensation device or TRVs (whichever is applicable) linked to a functioning heating system?",TRUE,FALSE,FALSE,TRUE,FALSE,Low,FALSE,,FALSE,,,
HC,Post,HC.2,Do the standard heating controls or smart thermostat turn on the domestic heating system?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
HC,Post,HC.3,Have any outdoor sensors required by the compensation device been installed in line with the manufacturer's instructions? ,TRUE,TRUE,FALSE,TRUE,FALSE,Low,FALSE,,FALSE,,,
HPED,Post,HPED.1,Have any outdoor sensors required by the compensation device been installed in line with the manufacturer's instructions? ,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
HPED,Post,HPED.2,"Has the threshold been raised above the previous level? 
Has consideration has to be made for disabled access and the rule of ""cant make it any worse"" always takes priority.",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
HPED,Post,HPED.3,Area all seals correctly finished round the new door?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
HPED,Post,HPED.4,Are all mechanisms and handles easy to open and free from catching or dragging as the door is opened and closed?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
HPED,Post,HPED.5,"If doors have glass present and it is less than 1500mm from the ground or floor level, has toughened safety glass been fitted?",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
HPED,Post,HPED.6,Are the fixings in line with building regulations and the maximum spacing between fixings 150mm from corner weld and maximum 600mm between other fixings?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
HHP,Post,HHP.1,"Where pipework has either been replaced, exposed, or been made accessible as part of the work within an unheated space within the building envelope, has this been insulated?",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
HHP,Post,HHP.2,"If holes or openings have been made through the fabric of the premises due to the installation of a new heat pump, have they been made good? (including condensate pipe,  pressure relief valve, gas flue terminals)",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
HHP,Post,HHP.3,Does the heat pump produce hot water for the central heating system?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
HHP,Post,HHP.4,"If the heat pump is designed to produce domestic hot water, is the boiler or heat pump producing domestic hot water?",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
HHP,Post,HHP.5,"If original heating controls remain, do they function correctly with the boiler?    ",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
HHP,Post,HHP.6,Are all habitable rooms heated ?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
HHP,Post,HHP.7,"Do the heating controls installed encompass a programmer, thermostat?",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
HHP,Post,HHP.8,Has the Renewable Heat plant/boiler been installed as per manufacturer’s instructions and other guidance?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
IWI,Mid & Post,IWI.2,Is the measure installed as specified in the appropriate product certificate and/or system designer's instructions?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
IWI,Post,IWI.7,"Is the insulation sealed around all adjoining boards, walls, ceilings and floors?  ",TRUE,FALSE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
IWI,Post,IWI.8,Is the insulation continued 400mm along all party and solid partition walls?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
IWI,Post,IWI.9,"Have all services (e.g. light switches, sockets, radiators) been removed, insulated behind and re-positioned inside the heat loss area?",TRUE,TRUE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
IWI,Post,IWI.10,"Has the system been sealed fully at edges, corners and junctions to prevent the ingress of moisture?",TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
IWI,Post,IWI.11,Does the provision of ventilation in the property meet the requirements of the relevant version of PAS 2030?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
LI,Post,LI.1,Is the thickness of insulation consistent throughout the loft area?,TRUE,FALSE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
LI,Post,LI.2,Has insulation been close butted? ,TRUE,FALSE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
LI,Post,LI.3,Has insulation been cross laid to prevent cold bridging? ,TRUE,FALSE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
LI,Post,LI.4,Has the loft hatch been insulated as specified in in the relevant PAS 2030 annex?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
LI,Post,LI.5,Has the loft hatch been draught proofed as specified in the relevant PAS 2030 annex?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
LI,Post,LI.6,"Where down lighters or services have been fitted through the existing ceiling, have any measures been taken to prevent air leakage around down lights into roof void?",TRUE,TRUE,FALSE,TRUE,FALSE,Low,FALSE,,FALSE,,,
LI,Post,LI.7,Have any and all working pipes and tanks been properly insulated? (including beneath the tank and overflows),TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
LI,Post,LI.8,Does the provision of ventilation in the property meet the requirements of the relevant version of PAS 2030?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
NB,Post,NB.1,"Where pipework has either been replaced, exposed, or been made accessible as part of the work within an unheated space within or outside of the building envelope, has this been insulated?",TRUE,TRUE,FALSE,TRUE,FALSE,Low,FALSE,,FALSE,,,
NB,Post,NB.2,"If holes or openings have been made through the fabric of the premises due to the installation of a new boiler, have they been made good? (including condensate pipe,  pressure relief valve, gas flue terminals)",TRUE,TRUE,FALSE,TRUE,FALSE,Low,FALSE,,FALSE,,,
NB,Post,NB.3,Does the boiler or heat pump produce hot water for the central heating system?,TRUE,FALSE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
NB,Post,NB.4,"If the boiler or heat pump is designed to produce domestic hot water, is the boiler or heat pump producing domestic hot water?",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
NB,Post,NB.5,"If original heating controls remain, do they function correctly with the boiler?",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
NB,Post,NB.6,"Do the heating controls installed encompass a programmer, thermostat and TRVs to all radiators except those in the room with the thermostat?",TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
NB,Post,NB.7,Has the boiler been installed as per manufacturer’s instructions and other guidance?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
NESH,Post,NESH.1,Is the installation an Electric Storage Heater as opposed to a panel heater or other kind of heater?,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
NESH,Post,NESH.2,Does the Electric Storage Heater activate and produce heat?,TRUE,FALSE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
NESH,Post,NESH.3,Are all storage heaters fitted with an automatic charge control?  ,TRUE,FALSE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
NESH,Post,NESH.4,Is the fan on fan-assisted storage heater(s) controlled by a thermostat?  ,TRUE,FALSE,FALSE,TRUE,FALSE,High,FALSE,,FALSE,,,
NESH,Post,NESH.5,Is the property on an Economy 7 or differential off-peak tariff?,TRUE,FALSE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
NESH,Post,NESH.6,"Where the property is on a differential off-peak tariff, are the Electric Storage Heaters connected to a separate consumer unit? ",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
PHI,Post,PHI.1,Is the Park Home sited on a concrete plinth which complies with BS3632:2015?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
PHI,Post,PHI.2,Is there sufficient support (jacks) insitu for the size of the park home and are they in good condition and free from corrosion?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
PHI,Post,PHI.3,Does the ventilation in the property meet the requirements of BS3632?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
PHI,Post,PHI.4,Has the installation compromised combustion ventilation within the property?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
PHI,Post,PHI.5,"Have all expansion joints on walls, floors and roofs been maintained post installation?",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
PHI,Post,PHI.6,Has the 6m minimum distance between Park Homes been maintained after the EWI has been installed?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
PHI,Post,PHI.7,"Has the EWI installation been carried out appropriately without compromising the accessibility, functionality of the existing services? (for example gas, electric, water, telephone, etc)  ",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
PHI,Post,PHI.8,Have all exterior facing wall areas been insulated to reduce the effects of thermal bridging in line with the relevant version PAS2030?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
PHI,Post,PHI.9,If loft insulation has been fitted have ventilation requirements set out in BS3632 been met?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
PHI,Post,PHI.10,Is there an even layer of insulation and does it meet the required U values of BS3632?,TRUE,TRUE,TRUE,TRUE,FALSE,Low,FALSE,,FALSE,,,
PHI,Post,PHI.11,Is all electrical apparatus penetrating the ceiling safeguarded in accordance with PAS2030?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
PHI,Post,PHI.12,"Have all sub floor areas got suitable ventilation, ensuring no sub floor vents have been covered or removed?",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
PHI,Post,PHI.13,"Are elements that are treated free from rot, infestation and visible signs of corrosion?",TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
PHI,Post,PHI.14,Has insulation been applied to working pipes below the insulation?,TRUE,TRUE,TRUE,TRUE,FALSE,High,FALSE,,FALSE,,,
